code,city,country,lat,lon
N/A,CHIVENOR,ENGLAND,51.087,-4.150
NQY,NEWQUAI,ENGLAND,50.441,-4.995
LYE,LYNEHAM,UK,51.505,-1.993
N/A,BOSCOMBE DOWN,ENGLAND,51.152,-1.747
N/A,CULDROSE,ENGLAND,50.086,-5.256
N/A,ST. ATHAN,UK,51.405,-3.436
YEO,YEOVILTON,UK,51.009,-2.639
N/A,HAVERFORDWEST,ENGLAND,51.833,-4.961
CWL,CARDIFF,WALES,51.397,-3.343
SWS,SWANSEA,ENGLAND,51.605,-4.068
BRS,BRISTOL,ENGLAND,51.383,-2.719
LPL,LIVERPOOL,ENGLAND,53.334,-2.850
LTN,LONDON,ENGLAND,51.874,-0.368
PLH,PLYMOUTH,ENGLAND,50.423,-4.106
BOH,BOURNEMOUTH,ENGLAND,50.780,-1.843
SOU,SOUTHAMPTON,ENGLAND,50.950,-1.357
QLA,LASHAM,ENGLAND,51.185,-1.032
GCI,GUERNSEY,GUERNSEY ISLD.,49.435,-2.602
JER,JERSEY,ENGLAND,49.208,-2.195
ESH,SHOREHAM BY SEA,ENGLAND,50.836,-0.297
BQH,BIGGIN HILL,ENGLAND,51.331,0.033
LGW,LONDON,ENGLAND,51.148,-0.190
LCY,LONDON,ENGLAND,51.505,0.054
